ADD/CHG/DEL/WDR;Unique UN Assigned ID; ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC;Dictionary Entry Name (auto generated);Definition Mandatory;Working comments and instructions;Publication comments;Object Class Term Qualifier(s);Object Class Term;Property Term Qualifier(s);Property Term;Datatype Qualifier(s);Representation Term;Qualified Data Type UID;Associated Object Class Term Qualifier(s);Associated Object Class;Business Term(s);Usage Rule(s);Sequence Number;Occurrence Min;Occurrence Max;Context Categories Mandatory for BIE's;;;;;;;;;;;;;;;;;;;;;;;;Facets To restrict the set of values of Content Component or Supplementary Components;;;;;;;;;;;;;;;Example(s);BIE/CC/DT Version;Ref Library Version;Submitter;Ref Component UN ID;Ref CR ID;Unique submitter ID;CR Status Date;CR Status;TBG17 Comment;TDED;Submitted Definition;Submitter Comment;Submitted DEN;Submission Row Number;Unique CC/BIE ID;CR Storage Date;Publication Refs -- Source
;UNDT000012-SC 2;SC;Indicator. Format. Text;Whether the indicator is numeric, textual or binary.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000013;DT;#NAME?;;;;;Measure;;;;Measure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000013-SC 1;CC;Measure. Content;The numeric value determined by measuring an object.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000013-SC 2;SC;Measure Unit. Code;The type of unit of measure.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000013-SC 3;SC;Measure Unit. Code List Version. Identifier;The version of the measure unit code list.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000014;DT;#NAME?;;;;;Numeric;;;;Numeric;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000014-SC 1;CC;Numeric. Content;Numeric information that is assigned or is determined by calculation, counting or sequencing.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000014-SC 2;SC;Numeric. Format. Text;Whether the number is an integer, decimal, real number or percentage.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000015;DT;#NAME?;;;;;Numeric;;;;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000015-SC 1;CC;Numeric. Content;Numeric information that is assigned or is determined by calculation, counting or sequencing.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000015-SC 2;SC;Numeric. Format. Text;Whether the number is an integer, decimal, real number or percentage.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000016;DT;#NAME?;;;;;Numeric;;;;Rate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000016-SC 1;CC;Numeric. Content;Numeric information that is assigned or is determined by calculation, counting or sequencing.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
